Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Jul,582704,,460310,163880,296430,,122395,59402,41948,21101,,1.096491228,,1.802909602,2.424359848,1.462569783,,-1.473926553,-0.323852672,1.426568016,-6.28858196,,Jun,646451,58033.13141,586392.5777,,3659189,242400,3416789,,-0.346386146,1.023417802,-0.369461153,,-0.569163903,-2.330922497,-0.441760515,,Jun,1413.477081,723.8253674,350.4335149,334.9748977,,118.8200035,,699.7220628,1765.568697,,0.425975428,-1.185165192,0.019765376,2.527793764,,0.894411881,,-1.138555891,-2.066141543,,Jul,16584,34569.57212,134099.9178,35321.77754,,66.43174094,125.57191,x,,77.40114498,108.9,,-1.706970128,-0.063742406,0.232623604,0.672513962,,-0.577600973,-0.120768227,x,,-1.093549455,-0.457038391
Aug,573967,,451402,159391,292011,,122565,59423,42118,22150,,-1.499389055,,-1.935217571,-2.739199414,-1.490739804,,0.138894563,0.035352345,0.40526366,4.971328373,,Jul,651402,62375.81133,587235.7833,,3688459,243316,3445144,,0.76587398,7.483104595,0.14379541,,0.799904022,0.377887789,0.829872726,,Jul,1448.326185,755.3637403,358.162578,337.4360689,,115.7845811,,710.8921147,1813.77937,,2.46548777,4.357179833,2.205571889,0.734733014,,-2.554639179,,1.596355542,2.730603077,,Aug,17324,34670.38822,134798.2275,35390.40273,,64.80306037,124.9546544,x,,77.82545494,108.7,,4.462132176,0.291632479,0.520738349,0.194285764,,-1.628680572,-0.491555497,x,,0.548195974,-0.183654729
Sep,571287,,448814,160394,288420,,122472,59669,41064,21508,,-0.466925799,,-0.573324886,0.62927016,-1.229748194,,-0.075878105,0.413981118,-2.502492996,-2.898419865,,Aug,653381,62229.96358,591006.3915,,3702367,235105,3467261,,0.303806252,-0.233821011,0.64209442,,0.377068038,-3.374623946,0.641976068,,Aug,1423.902867,733.1887241,352.261937,332.2151075,,118.550937,,711.1004798,1803.65968,,-1.686313402,-2.935673903,-1.647475572,-1.547244612,,2.389226482,,0.029310366,-0.55793391,,Sep,16956,35074.05869,135761.6385,35570.64204,,65.85074169,123.9637403,x,,78.29660791,108.6,,-2.124220734,1.164309071,0.714705989,0.509288678,,1.047681328,-0.793018975,x,,0.605396991,-0.09199632
Oct,574712,,450777,161081,289696,,123934,60347,40585,21199,,0.599523532,,0.437374948,0.428320261,0.442410374,,1.193742243,1.136268414,-1.166471849,-1.436674726,,Sep,654234,62038.9156,589387.4647,,3696763,236642,3460121,,0.1305517,-0.307003192,-0.27392712,,-0.151362628,0.653750452,-0.205926234,,Sep,1428.689663,733.7229462,364.3108247,332.9027022,,117.7338169,,716.8305172,1821.089843,,0.336174375,0.072862838,3.420434176,0.206972755,,-0.689256531,,0.805798556,0.966377564,,Oct,16485,35059.0891,136986.9521,35132.24803,,66.82813596,124.6134787,x,,78.01388376,109,,-2.777777778,-0.042679947,0.902547717,-1.232460219,,0.977394266,0.524135899,x,,-0.361093729,0.368324125
Nov,542511,,418342,140692,277650,,124169,60142,42617,20891,,-5.602980275,,-7.1953538,-12.65760704,-4.158151994,,0.189617054,-0.339702056,5.006775902,-1.452898722,,Oct,650809,57237.14544,594321.856,,3705356,235541,3469814,,-0.523512994,-7.739932448,0.837206691,,0.232446603,-0.465259759,0.280134712,,Oct,1420.596216,718.312376,363.6788759,336.3345805,,117.874485,,730.0171767,1848.111499,,-0.566494436,-2.100325513,-0.17346417,1.030895291,,0.119479778,,1.83957843,1.483817848,,Nov,16330,35390.49964,140990.8344,36126.61202,,67.23910187,123.7871214,x,,78.23285962,112,,-0.940248711,0.945291347,2.922820193,2.830345452,,0.410965906,-0.66313638,x,,0.280688314,2.752293578
Dec,557033,,432675,154578,278097,,124357,60922,40592,22590,,2.676812083,,3.42614416,9.869786484,0.160994057,,0.151406551,1.296930598,-4.751624938,8.132688718,,Nov,646672,55452.99939,594350.2757,,3757957,230852,3527105,,-0.635670373,-3.117112217,0.00478187,,1.419593691,-1.99073622,1.651125968,,Nov,1419.261424,718.1336319,360.7023998,333.8031738,,115.5815901,,665.896305,1727.682356,,-0.093959998,-0.024883895,-0.818435258,-0.752645394,,-1.945200396,,-8.78347439,-6.516335331,,Dec,16221,34494.61312,139219.637,36565.52985,,66.21843051,123.0897114,x,,77.45932652,112.3,,-0.66748316,-2.531432248,-1.256250058,1.214943243,,-1.020671356,-0.563394669,x,,-0.988757284,0.267857143
Jan '07,555461,,433010,150060,282950,,122451,59044,42147,21469,,-0.282209492,,0.077425319,-2.922796258,1.74507456,,-1.532684127,-3.082630249,3.830804099,-4.962372731,,Dec,668021,63142.25732,604982.0161,,3859864,246266,3613598,,3.301364525,13.86626154,1.788800448,,2.711765994,6.677005181,2.452237742,,Dec,1440.204601,735.7578393,374.5071291,330.0298201,,115.1072243,,705.9562346,1784.401334,,1.475639143,2.454168225,3.827179792,-1.130412759,,-0.410416389,,6.015941111,3.282951725,,Jan '07,17114,34170.8061,138503.3247,36015.98529,,66.48232035,125.9455929,x,,79.34786396,111.7,,5.505209297,-0.93871765,-0.514519584,-1.502903316,,0.263889838,2.320162653,x,,2.438102069,-0.53428317
Feb,552753,,428646,148297,280349,,124107,57215,44730,22059,,-0.487522976,,-1.007828919,-1.174863388,-0.919243683,,1.352377686,-3.097689858,6.128550075,2.748148493,,Jan '07,660244,55256.64134,609085.8899,,3779778,234272,3545506,,-1.164184958,-12.48865073,0.678346417,,-2.074839943,-4.87034345,-1.884326923,,Jan '07,1423.011116,737.630886,369.2616773,319.5178692,,119.4463586,,718.5996137,1843.963304,,-1.193822382,0.254573809,-1.400628031,-3.185151841,,3.769645571,,1.790957928,3.337924512,,Feb,16524,34016.31786,139360.8645,36621.85453,,66.35320578,126.6981064,x,,80.37373876,111.2,,-3.447469908,-0.452105928,0.619147465,1.68222316,,-0.129114563,0.597490911,x,,1.292882687,-0.447627574
Mar,556075,,427239,152897,274342,,128835,59756,43318,23485,,0.600991763,,-0.328242886,3.101883383,-2.142686437,,3.809615896,4.441143057,-3.156718086,6.464481617,,Feb,660097,53846.56272,607493.1895,,3730739,227508,3503231,,-0.022264496,-2.551871747,-0.261490287,,-1.297404239,-2.88724218,-1.19235449,,Feb,1397.924002,727.1618874,346.6186469,333.6694514,,119.6643348,,718.2567548,1810.845472,,-1.762959787,-1.419273355,-6.131974085,4.429042491,,0.182488734,,-0.047712093,-1.796013609,,Mar,16457,34509.88695,140201.6385,36587.96477,,66.74351442,126.2420803,x,,80.79462158,110.6,,-0.40547083,1.450977442,0.603307132,-0.092539718,,0.390308638,-0.359931224,x,,0.523657145,-0.539568345
Apr,548453,,425823,164656,261167,,122630,57534,41040,24112,,-1.370678416,,-0.331430417,7.690798381,-4.802399924,,-4.816237824,-3.718455051,-5.258783877,2.669789227,,Mar,685780,64243.92336,621033.4554,,3803651,239637,3564013,,3.890791808,19.30923743,2.22887534,,1.954358104,5.331241099,1.735026894,,Mar,1440.541001,738.4963738,361.9567761,339.9388775,,122.1552756,,710.7461341,1801.313694,,3.048591948,1.558729429,4.425073279,1.878933181,,2.081606698,,-1.045673519,-0.526371668,,Apr,16613,34750.50714,140736.8404,36734.63601,,66.07281063,125.9594297,x,,80.70769295,110.9,,0.947924895,0.697249999,0.381737275,0.400872903,,-0.670703796,-0.223895699,x,,-0.10759211,0.27124774
May,564033,,436300,153497,282803,,127733,58139,43445,25985,,2.840717436,,2.460411955,-6.777159654,8.284354455,,4.161298214,1.051552126,5.860136452,7.76791639,,Apr,668264,57683.83873,608475.3777,,3757420,235237,3522184,,-2.554171892,-10.21121421,-2.022125791,,-1.215437484,-1.83611045,-1.173648918,,Apr,1434.414041,750.6225757,356.3347798,328.9543739,,123.9450591,,716.350761,1810.160742,,-0.425323496,1.642012384,-1.553223114,-3.231317239,,1.465170815,,0.788555378,0.491144209,,May,16575,35303.09806,140929.5377,37274.14192,,67.47024464,125.8778417,x,,81.22948391,110.9,,-0.228736532,1.590166485,0.136920285,1.468657291,,1.397434012,-0.064773239,x,,0.646519485,0
Jun,564928,,435406,151953,283453,,129522,58047,45233,25777,,0.158678659,,-0.204904882,-1.005882851,0.229841975,,1.400577768,-0.158241456,4.115548395,-0.800461805,,May,674959,58831.57179,613707.0191,,3779736,234071,3545665,,1.001849568,1.989696056,0.859795086,,0.593918167,-0.495670324,0.666660231,,May,1437.981981,743.9574391,356.0496401,334.6052458,,124.7428488,,708.115243,1793.718854,,0.248738491,-0.887947787,-0.080020168,1.717828473,,0.643664004,,-1.149648812,-0.908310948,,Jun,17242,35211.08666,142222.5304,36543.73594,,66.17131088,127.1413356,x,,80.04259144,112,,4.02413273,-0.260632653,0.91747458,-1.959551431,,-1.29893376,1.003746053,x,,-1.461159678,0.991884581
Jul,555692,,429035,151751,277284,,126657,59347,44426,23928,,-1.634898607,,-1.463232018,-0.132935842,-2.176374919,,-2.211979432,2.239564491,-1.784095682,-7.173061256,,Jun,655407,59614.75285,592467.4561,,3792299,231317,3560983,,-2.896768544,1.331225793,-3.46086362,,0.332377711,-1.176566085,0.43202051,,Jun,1446.179443,747.4154333,362.9933511,341.7307438,,121.4225507,,709.5675278,1795.040919,,0.570067073,0.46481075,1.950208686,2.129523704,,-2.661714173,,0.205091595,0.073705247,,Jul,17069,34850.33244,141001.2583,36538.27835,,65.46294386,128.447404,x,,81.16446531,113.2,,-1.003363879,-1.024547247,-0.858705105,-0.014934409,,-0.708367021,1.027257143,x,,1.40159614,1.071428571
Aug,554867,,430962,149842,281120,,123906,58298,43547,23826,,-0.148463537,,0.449147505,-1.257981825,1.383419166,,-2.172007864,-1.767570391,-1.978571107,-0.426278837,,Jul,663451,70323.19329,592830.2398,,3819701,240866,3578835,,1.227328973,17.96273561,0.061232672,,0.722569608,4.128101264,0.501322247,,Jul,1460.070511,747.273378,357.0979435,351.8916906,,123.291231,,711.7931296,1789.920701,,0.96053555,-0.019006193,-1.62410897,2.973378002,,1.53898946,,0.313656093,-0.285242408,,Aug,16830,34958.46861,141527.5096,36421.09087,,65.16686435,129.2706473,x,,82.18034784,113.1,,-1.400199192,0.310287356,0.373224598,-0.320725227,,-0.296079512,0.640918601,x,,1.251634592,-0.088339223
Sep,550495,,422013,144731,277282,,128483,58700,46141,24432,,-0.787936569,,-2.076517187,-3.410926176,-1.365253273,,3.693929269,0.689560534,5.956782327,2.54343994,,Aug,674128,71274.89932,605022.836,,3814082,243795,3570286,,1.609312519,1.353331646,2.056675824,,-0.147105755,1.216028829,-0.238876618,,Aug,1469.309562,746.1039973,362.6968211,350.1053289,,124.0999484,,706.8351939,1787.249531,,0.632781166,-0.156486338,1.567882911,-0.50764533,,0.655940773,,-0.696541657,-0.149233952,,Sep,16759,35245.13556,142407.7524,36560.72947,,66.77293269,130.2356493,x,,80.97679704,112.9,,-0.421865716,0.820021455,0.621958739,0.383400381,,1.606068345,0.746497326,x,,-1.464523854,-0.17683466
Oct,536718,,415019,136170,278849,,121699,55775,40832,25044,,-2.5026567,,-1.657294917,-5.915111483,0.565128642,,-5.280075963,-4.982964225,-11.50603585,2.504911591,,Sep,674643,69964.36944,604177.2593,,3888562,237857,3650705,,0.076394987,-1.838697631,-0.139759463,,1.95276347,-2.435652905,2.252452605,,Sep,1487.945653,768.9139386,372.7288822,350.1055272,,124.6527711,,720.9072344,1827.189441,,1.268357006,3.057206684,2.765963323,5.66587E-05,,0.445465701,,1.990851699,2.234713684,,Oct,16409,35498.71105,142317.2076,36460.7117,,68.24696662,130.0023212,x,,82.19286668,113,,-2.088430097,0.719462399,-0.063581349,-0.273566131,,1.474033928,-0.179158334,x,,1.501750733,0.088573959
Nov,522388,,394582,134165,260417,,127806,59730,40559,27536,,-2.669930951,,-4.924352861,-1.472424176,-6.610029084,,5.018118473,7.090990587,-0.66859326,9.950487143,,Oct,681991,74344.91273,608851.4038,,3927929,237499,3690431,,1.089168642,6.261105941,0.773637931,,1.012379383,-0.150510601,1.08817338,,Oct,1474.698839,761.9214954,363.8048448,348.8872764,,126.6030634,,713.2822069,1798.809602,,-0.890275386,-0.909392178,-2.394243587,-0.347966761,,1.564579952,,-1.057698848,-1.553196355,,Nov,16353,36904.89566,142216.8588,36181.22862,,66.96837161,129.0118027,x,,82.07137799,113.2,,-0.341276129,3.961227212,-0.070510623,-0.766532162,,-1.27859501,-0.761923745,x,,-0.14780929,0.17699115
Dec,514962,,383950,126680,257270,,131012,57672,43622,28892,,-1.421548734,,-2.694496961,-5.578951291,-1.208446453,,2.508489429,-3.445504771,7.55196134,4.924462522,,Nov,689716,75705.8565,612973.837,,3903775,237133,3666642,,1.132712895,1.8305809,0.677083625,,-0.614929649,-0.154105912,-0.644613055,,Nov,1525.691058,780.2191734,378.0854919,358.5842339,,126.8569435,,724.0173677,1839.017081,,3.457805612,2.401517494,3.92535924,2.779395587,,0.200532357,,1.505036957,2.235227098,,Dec,16495,35798.75391,142312.6771,36093.64255,,67.58851418,131.4477888,x,,82.31815252,113.3,,0.8683422,-2.997276442,0.067374743,-0.242075988,,0.620142572,1.888188601,x,,0.300682818,0.088339223
Jan '08,514362,,384782,125682,259100,,129580,58301,43517,28380,,-0.116513451,,0.216694882,-0.787811809,0.711314961,,-1.093029646,1.090650576,-0.240704232,-1.772116849,,Dec,678834,75280.47793,605023.0364,,3884312,238200,3646112,,-1.577750842,-0.561883312,-1.297086451,,-0.498568693,0.449958462,-0.559912858,,Dec,1497.312793,766.8394221,373.5481452,359.3253814,,124.7196151,,700.5288332,1792.770659,,-1.860026986,-1.714870861,-1.200084838,0.206687148,,-1.684833585,,-3.244194898,-2.514735846,,Jan '08,16390,36179.62084,144177.492,35389.29381,,67.36111709,132.4698511,x,,82.64509842,112.4,,-0.636556532,1.063911123,1.310364577,-1.951448217,,-0.227397095,0.777542353,x,,0.397173507,-0.79435128
Feb,507283,,376880,120383,256497,,130404,58631,42338,26858,,-1.376268076,,-2.053630367,-4.216196432,-1.004631416,,0.635900602,0.566028027,-2.709286026,-5.362931642,,Jan '08,679239,74393.98379,609154.9005,,3950911,237757,3713153,,0.059661125,-1.177588346,0.682926741,,1.714563609,-0.18597817,1.838698318,,Jan '08,1544.078996,798.5562556,376.8620719,367.2557017,,126.7583267,,704.1225611,1797.441183,,3.123342262,4.136046296,0.887148471,2.207002517,,1.634635871,,0.513002136,0.260519872,,Feb,16322,35861.08491,145508.6673,35776.37007,,65.70545534,133.1937234,x,,82.97365348,113.5,,-0.414887126,-0.880429138,0.923289233,1.093766557,,-1.655661748,0.546443069,x,,0.397549359,0.978647687
Mar,501651,,381130,122861,258269,,120521,51793,42416,22851,,-1.110228413,,1.127679898,2.058430177,0.690846287,,-7.578755253,-11.66277225,0.18423166,-14.91920471,,Feb,683895,72898.57904,611568.3317,,3927631,238264,3689367,,0.685473007,-2.010115162,0.396193359,,-0.589231193,0.213242933,-0.640587662,,Feb,1562.01971,796.4176062,382.6247362,365.439307,,130.6544432,,709.6236738,1793.892637,,1.161903872,-0.267814497,1.529117596,-0.494585838,,3.073657285,,0.781272046,-0.197422092,,Mar,15683,35860.03234,146691.8881,36016.85258,,65.72626814,134.2204923,x,,82.65266581,113.7,,-3.914961402,-0.002935146,0.813161736,0.672182532,,0.020812798,0.77088384,x,,-0.386854926,0.176211454
Apr,489349,,366575,121052,245523,,122774,52098,43124,27877,,-2.452302497,,-3.818906935,-1.472395634,-4.935164499,,1.869383759,0.588882668,1.669181441,21.99466107,,Mar,677138,72158.86229,603912.4513,,3912147,235046,3677102,,-0.988017166,-1.014720399,-1.251843834,,-0.394232554,-1.350602693,-0.332441852,,Mar,1536.630156,808.4121719,373.4716407,368.6577298,,126.5902837,,725.9992069,1834.271781,,-1.625431089,1.506064854,-2.392186025,0.880699687,,-3.110617149,,2.307636236,2.25092312,,Apr,16569,37254.57793,146745.8714,34558.00366,,66.81384667,133.2730693,x,,83.5951366,113.9,,5.649429318,3.888857593,0.0368005,-4.050461975,,1.087578535,-0.705870579,x,,1.140278757,0.175901495
May,519888,,385228,125888,259340,,134660,62972,44173,27597,,6.240740249,,5.088453932,3.994977365,5.627578679,,9.681202861,20.87220239,2.432520174,-1.004412239,,Apr,682987,69025.67853,612177.9798,,4010703,238813,3771890,,0.863782567,-4.342063687,1.368663369,,2.519230489,1.60266501,2.57779088,,Apr,1521.112221,797.2092787,367.6436069,364.0050372,,128.5584209,,693.3615895,1742.551967,,-1.009867902,-1.385789768,-1.560502362,-1.262062949,,1.554730074,,-4.495544489,-5.000339392,,May,16816,36391.14877,148041.7847,35094.83796,,66.54625466,133.9827837,x,,83.65303251,114.3,,1.490735711,-2.317645799,0.883100357,1.553429715,,-0.26759201,0.532526456,x,,0.069257507,0.35118525
Jun,514282,,386473,122160,264313,,127809,55877,44322,26614,,-1.078309174,,0.323185231,-2.961362481,1.91755996,,-5.0876281,-11.26691228,0.337310122,-3.561981375,,May,679418,71801.53646,606389.6389,,4014130,241203,3772927,,-0.52255753,4.021485888,-0.945532353,,0.085446367,1.000783039,0.027492848,,May,1534.912158,802.1883989,377.1540212,354.7817193,,129.5991531,,707.7322665,1801.315318,,0.907226768,0.624568767,2.586856969,-2.533843468,,0.809540318,,2.072609331,3.372258175,,Jun,17036,36171.1876,149069.8187,35167.61552,,67.31498143,135.3915509,x,,84.1531568,114.9,,1.308277831,-0.604435902,0.694421511,0.207373973,,0.768726769,1.051453943,x,,0.597855543,0.524934383
Jul,505107,,379186,118114,261072,,125921,56725,43595,26602,,-1.784040663,,-1.885513348,-3.312049771,-1.226197728,,-1.477204266,1.517619056,-1.640268941,-0.045089051,,Jun,695801,71675.77809,621289.2612,,4037829,248248,3789582,,2.411328519,-0.175147178,2.457103705,,0.590389449,2.920776276,0.441434462,,Jun,1528.24539,798.1754264,373.7568267,355.602053,,131.1867842,,700.9600147,1790.271272,,-0.434341999,-0.500253111,-0.900744612,0.231222086,,1.225031982,,-0.956894598,-0.613110093,,Jul,16904,35488.05021,149313.7653,35022.74811,,63.70388094,133.978517,x,,84.22902004,115.8,,-0.774829772,-1.888623049,0.163645837,-0.4119341,,-3.611100494,-1.043664749,x,,0.090149017,0.783289817
Aug,495972,,369286,117931,251355,,126686,56394,42918,28216,,-1.808527698,,-2.610855886,-0.154935063,-3.721961758,,0.607523765,-0.583516968,-1.552930382,6.067212992,,Jul,687053,65636.98427,620772.0487,,4018330,239603,3778727,,-1.257256026,-8.425152795,-0.083248267,,-0.482908018,-3.482404692,-0.286443201,,Jul,1482.327884,768.9062294,364.5619883,343.4649642,,129.7667397,,679.6163471,1726.100567,,-3.00458985,-3.667013046,-2.460112485,-3.413109886,,-1.082460028,,-3.04491942,-3.584412365,,Aug,16816,35244.81206,149537.3733,35631.63993,,63.37106187,133.4035651,x,,83.4122496,116.3,,-0.520586843,-0.68540863,0.149757121,1.73856094,,-0.332819063,-0.429137398,x,,-0.969701942,0.431778929
Sep,501477,,376033,120466,255567,,125444,56217,42834,28003,,1.10994169,,1.827039205,2.149562032,1.675717611,,-0.980376679,-0.313863177,-0.195722075,-0.754890842,,Aug,673926,63296.81965,610513.1223,,4052513,238151,3814362,,-1.910624071,-3.565314045,-1.652607654,,0.850676774,-0.606002429,0.943042458,,Aug,1484.109743,781.9543138,367.879359,338.7632961,,131.7837994,,668.9709971,1718.133025,,0.120206774,1.696966924,0.909960672,-1.368893056,,1.554373391,,-1.566376391,-0.46159203,,Sep,15886,34604.53709,151138.6457,35935.15348,,62.45433375,133.2479855,x,,83.97936031,116.4,,-5.530447193,-1.816650247,1.070817547,0.851809081,,-0.91672812,-0.116623254,x,,0.679888995,0.085984523
Oct,493991,,367334,118259,249075,,126657,55383,42981,28737,,-1.492790297,,-2.313360795,-1.832052197,-2.540234068,,0.966965339,-1.483537008,0.34318532,2.621147734,,Sep,680313,65164.07387,614097.2504,,4046129,240917,3805212,,0.947730166,2.949996906,0.587068156,,-0.157531882,1.161447989,-0.239882843,,Sep,1409.319545,748.1027022,335.7749372,325.2983168,,128.3857246,,661.1415869,1681.814017,,-5.039398046,-4.329103501,-8.726888584,-3.974745642,,-2.578522389,,-1.170366161,-2.113864681,,Oct,16476,34834.3775,153442.9591,36938.00714,,63.58254069,132.6435469,x,,83.07724828,116.4,,3.713961979,0.664191544,1.524635498,2.790731539,,1.128206933,-0.453619327,x,,-1.074206831,0
Nov,497899,,376150,121134,255016,,121749,53801,40630,28604,,0.79110753,,2.399995644,2.431104609,2.385225334,,-3.875032568,-2.856472203,-5.469858775,-0.46281797,,Oct,681089,67206.44089,617112.1727,,4069903,242329,3827573,,0.114065144,3.134191729,0.490951932,,0.58757395,0.586093966,0.587641372,,Oct,1429.742828,755.9214696,342.9503255,322.2589118,,130.7462026,,670.5110061,1728.650997,,1.449159141,1.045146257,2.136963608,-0.934343891,,1.838582935,,1.417157749,2.784908405,,Nov,16775,34636.94697,152681.9145,36608.46552,,62.5373491,131.7428773,x,,84.13254471,116.6,,1.814760864,-0.566769212,-0.495978873,-0.892147792,,-1.045191587,-0.679015015,x,,1.270259247,0.171821306
Dec,447460,,326455,97732,228723,,121005,54803,41212,25814,,-10.13036781,,-13.21148478,-19.31910116,-10.31033347,,-0.611093315,1.862418914,1.432439084,-9.753880576,,Nov,686057,71255.13376,613845.4066,,4056450,246948,3809502,,0.72942009,6.024263176,-0.529363419,,-0.330548418,1.906086354,-0.472126854,,Nov,1427.811505,761.7722229,340.8229162,332.8685955,,129.4045083,,675.0327113,1749.139023,,-0.135081843,0.773989566,-0.620325766,3.292285568,,-1.026182285,,0.674367033,1.185203115,,Dec,16225,35611.62378,153918.8199,35245.01224,,61.28291034,131.4620373,x,,83.79683345,116.7,,-3.278688525,2.813980123,0.810119166,-3.724420756,,-1.25443876,-0.213172805,x,,-0.399026629,0.085763293
Jan '09,468208,,350250,113868,236382,,117958,52647,41687,25941,,4.636839047,,7.288906587,16.51045717,3.348591965,,-2.518077765,-3.934091199,1.152576919,0.491981096,,Dec,664074,68543.12936,597101.4359,,3971867,240705,3731162,,-3.204252708,-3.80604773,-2.727717845,,-2.085148344,-2.528062588,-2.056436773,,Dec,1392.149865,727.1449243,331.9405702,333.8593676,,114.9656135,,629.9280391,1628.418212,,-2.497643459,-4.545623683,-2.606146947,0.297646613,,-11.15795342,,-6.68184985,-6.901727614,,Jan '09,16469,35577.19358,154049.5637,37263.84439,,60.41407749,131.0949587,x,,81.4592637,117,,1.50385208,-0.096682467,0.084943335,5.727993919,,-0.868832849,-0.279227888,x,,-2.789568124,0.257069409
